,0
HH Pos - Thres: 0.006636666666666667,131
BB Pos - Thres: 0.008547222222222223,101
HH Pos - Thres: 0.008547222222222223,101
BB Pos - Thres: 0.01045777777777778,79
HH Pos - Thres: 0.01045777777777778,79
BB Pos - Thres: 0.012368333333333335,71
HH Pos - Thres: 0.012368333333333335,71
BB Pos - Thres: 0.014278888888888891,69
HH Pos - Thres: 0.014278888888888891,69
BB Pos - Thres: 0.016189444444444447,57
HH Pos - Thres: 0.016189444444444447,57
BB Pos - Thres: 0.0181,51
HH Pos - Thres: 0.0181,51
HH Pos - Thres: 0.00045,395
JJ Pos - Thres: 0.00045,395
HH Pos - Thres: 0.0014,261
JJ Pos - Thres: 0.0014,261
HH Pos - Thres: 0.00235,177
JJ Pos - Thres: 0.00235,177
HH Pos - Thres: 0.0032999999999999995,129
JJ Pos - Thres: 0.0032999999999999995,129
HH Pos - Thres: 0.0042499999999999994,109
JJ Pos - Thres: 0.0042499999999999994,109
HH Pos - Thres: 0.0052,99
JJ Pos - Thres: 0.0052,99
HH Pos - Thres: 0.00615,87
JJ Pos - Thres: 0.00615,87
HH Pos - Thres: 0.0071,71
JJ Pos - Thres: 0.0071,71
HH Pos - Thres: 0.00805,57
JJ Pos - Thres: 0.00805,57
HH Pos - Thres: 0.009,53
JJ Pos - Thres: 0.009,53
AA Pos - Thres: 0.00107,390
II Pos - Thres: 0.00107,390
AA Pos - Thres: 0.0033288888888888886,179
II Pos - Thres: 0.0033288888888888886,179
AA Pos - Thres: 0.0055877777777777774,79
II Pos - Thres: 0.0055877777777777774,79
AA Pos - Thres: 0.007846666666666665,59
II Pos - Thres: 0.007846666666666665,59
AA Pos - Thres: 0.010105555555555555,41
II Pos - Thres: 0.010105555555555555,41
AA Pos - Thres: 0.012364444444444445,27
II Pos - Thres: 0.012364444444444445,27
AA Pos - Thres: 0.014623333333333334,19
II Pos - Thres: 0.014623333333333334,19
AA Pos - Thres: 0.016882222222222222,10
II Pos - Thres: 0.016882222222222222,10
AA Pos - Thres: 0.019141111111111112,10
II Pos - Thres: 0.019141111111111112,10
AA Pos - Thres: 0.0214,10
II Pos - Thres: 0.0214,10
