Timestamp,BB,JJ,FF,MM,DD,HH,AA,II,PnL,Cum PnL,BBJJ PnL,BBJJ Cum PnL,FFMM PnL,FFMM Cum PnL,DDHH PnL,DDHH Cum PnL,AAII PnL,AAII Cum PnL
01/01/2018 00:05,-6133.55,10006.25,9834.0,-9490.0,7741.8,-9856.0,-9840.0,9888.4,2150.8999999999996,2150.8999999999996,3872.7,3872.7,344.0,344.0,-2114.2,-2114.2,48.399999999999636,48.399999999999636
01/01/2018 00:10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:50,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 00:55,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2150.8999999999996,-0.0,3872.7,-0.0,344.0,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:10,-0.0,-0.0,-19588.8,19145.25,-0.0,-0.0,-0.0,-0.0,-443.5499999999993,1707.3500000000004,-0.0,3872.7,-443.5499999999993,-99.54999999999927,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:15,-0.0,-0.0,19659.2,-19064.85,-0.0,-0.0,-0.0,-0.0,594.3500000000022,2301.7000000000025,-0.0,3872.7,594.3500000000022,494.8000000000029,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2301.7000000000025,-0.0,3872.7,-0.0,494.8000000000029,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2301.7000000000025,-0.0,3872.7,-0.0,494.8000000000029,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2301.7000000000025,-0.0,3872.7,-0.0,494.8000000000029,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2301.7000000000025,-0.0,3872.7,-0.0,494.8000000000029,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2301.7000000000025,-0.0,3872.7,-0.0,494.8000000000029,-0.0,-2114.2,-0.0,48.399999999999636
01/01/2018 01:45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2301.7000000000025,-0.0,3872.7,-0.0,494.8000000000029,-0.0,-2114.2,-0.0,48.399999999999636
